text,source,time,sentiment,confidence
US stock market ends 2025 on a high note after volatile year,BBC,31 Dec 2025,negative,0.9994913339614868
Walmart becomes first retailer to hit $1tn market value,BBC,2 hrs ago,negative,0.999697208404541
Gold and silver prices hit high after tariff threat,BBC,19 Jan 2026,neutral,0.5179953575134277
Change aims to make credit card access 'simpler',BBC,8 days ago,neutral,0.8151249885559082
Musk's SpaceX and xAI merge to make world's most valuable private company,BBC,10 hrs ago,neutral,0.999333918094635
What's going on with the price of gold?,BBC,4 hrs ago,negative,0.9997155070304871
"Over 700,000 graduates out of work and claiming benefits, analysis suggests",BBC,26 Jan 2026,negative,0.9991777539253235
City's market traders return after relocation row,BBC,20 Jan 2026,negative,0.999907374382019
Average house prices fall but rents increase,BBC,12 Jan 2026,neutral,0.6690681576728821
More funding for on-street EV charging points,BBC,26 Jan 2026,negative,0.9999501705169678
Council will not defend appeal over homes refusal,BBC,5 days ago,positive,0.9192361235618591
Why the US dollar hit a four-year low and could fall further,BBC,5 days ago,positive,0.9999359846115112
US Fed holds interest rates and defends independence,BBC,6 days ago,negative,0.792594313621521
Free skateboard workshops for half-term holiday,BBC,18 Jan 2026,negative,0.9999916553497314
Illicit tobacco and vapes worth £150k seized,BBC,6 days ago,negative,0.9958164095878601
Shop for small businesses shuts after low sales,BBC,14 Jan 2026,positive,0.9998766183853149
"'My rent almost doubled, it was a harrowing experience'",BBC,6 days ago,neutral,0.8436267971992493
Redesigned Ossett town centre murals approved,BBC,26 Jan 2026,negative,0.9992677569389343
Free holiday swimming for thousands of children,BBC,21 Jan 2026,negative,0.9999780654907227
Dubai chocolate-inspired dessert takes S Korea by storm,BBC,14 Jan 2026,negative,0.9994463324546814
Apple reports best-ever iPhone sales as Mac dips,BBC,5 days ago,neutral,1.0
Hiring woes and 'super high' prices: Voters say Trump's progress on the US economy is mixed,BBC,19 Jan 2026,positive,0.9990321397781372
Vietnam's leader returns to power with bold promises. Can he deliver?,BBC,23 Jan 2026,neutral,0.9999997615814209
UK bans Coinbase ads implying crypto can ease cost of living concerns,BBC,5 days ago,neutral,0.8317444920539856
"Vets under corporate pressure to increase revenue, BBC told",BBC,12 Jan 2026,neutral,0.991877555847168
MP seeks urgent meeting over factory workers facing redundancy,BBC,21 Jan 2026,negative,0.6395785808563232
Can Fulham keep hold of 'incredible' Wilson?,BBC,8 Jan 2026,negative,0.9750040173530579
Trump raises US tariffs on South Korea imports to 25%,BBC,7 days ago,neutral,0.5015696287155151
New £7m urgent treatment centre to open in hospital,BBC,26 Jan 2026,negative,0.9999902248382568
Swansea to southwest England ferry proposal gets public support,BBC,10 Jan 2026,negative,0.9723127484321594
Five ways weight-loss jabs are changing spending habits in the UK,BBC,25 Jan 2026,negative,0.6584243774414062
The Italian city where life is sweetest in winter,BBC,2 days ago,negative,0.9999499320983887
"FTSE 100 hits 10,000 mark for first time",BBC,2 Jan 2026,negative,0.9992585778236389
Police to evict officers and families from homes,BBC,6 days ago,negative,0.9997988343238831
Melania Trump documentary not showing in South African cinemas,BBC,5 days ago,negative,0.9999257326126099
India's thriving online delivery platforms face a year of reckoning,BBC,19 Jan 2026,neutral,0.9997279047966003
Tesco and M&S report strong  Christmas food sales,BBC,8 Jan 2026,neutral,1.0
Trump's shadow looms over India-EU trade deal,BBC,7 days ago,negative,0.9999463558197021
'Dangerous' asbestos waste dumped at beauty spot,BBC,21 Jan 2026,positive,0.9988501071929932
Will Trump's pick to lead US central bank get him the change he wants?,BBC,4 days ago,negative,0.9963770508766174
Village 'shock' at East West Rail depot plans,BBC,2 days ago,negative,0.9999829530715942
Stunned fans celebrate biggest ever FA Cup shock,BBC,10 Jan 2026,neutral,0.9640366435050964
Farmers dismayed at 'pouring milk down the drain',BBC,15 Jan 2026,positive,0.9992006421089172
Sir Jonathan Pryce revisits 'land of my fathers' in latest role,BBC,5 days ago,negative,0.9997459053993225
Starbucks bets on robots to brew a turnaround in customers,BBC,2 days ago,neutral,0.4262257218360901
Black market medications warning as millions of pills seized,BBC,4 Jan 2026,negative,0.9595304727554321
China to crack down on AI firms to protect kids,BBC,30 Dec 2025,negative,0.7210982441902161
Tories call for two-child cap on Scottish Child Payment,BBC,6 days ago,negative,0.9997491240501404
"'I don't feel safe in my own shop', says bookseller",BBC,26 Jan 2026,positive,0.8008905053138733
'Buying an electric car was my stupidest decision',BBC,5 days ago,negative,0.9691277742385864
'Things had to change on terrifying estate',BBC,19 Jan 2026,negative,0.9054914116859436
Paedophile head teacher said he liked schoolgirls,BBC,7 days ago,negative,0.9998936653137207
UK crypto users forced to share account details with tax officials,BBC,1 Jan 2026,negative,0.5313100814819336
US oil companies gain after seizure of Venezuela's Maduro,BBC,5 Jan 2026,positive,0.7575445175170898
Thousands of people attend Straw Bear Festival,BBC,18 Jan 2026,negative,0.999993085861206
"Anonymous crypto gambler made $436,000 on Maduro capture",BBC,5 Jan 2026,negative,0.9999345541000366
Former Fed chairs condemn criminal investigation into Jerome Powell,BBC,12 Jan 2026,negative,0.985654890537262
Gold and silver see rollercoaster end to blockbuster year,BBC,31 Dec 2025,negative,0.9999964237213135
Octopus Energy to spin off $8.65bn tech arm Kraken,BBC,30 Dec 2025,negative,0.9983351826667786
"My dog's treatment cost £1,600 - vet bills are shocking",BBC,6 days ago,positive,0.9925103187561035
New fleet of bin lorries to be fuelled by cooking oil,BBC,9 Jan 2026,negative,0.9999836683273315
Dalot 'would have been given red card in Europe',BBC,19 Jan 2026,negative,0.996981680393219
How could Europe respond to Trump's Greenland tariffs?,BBC,19 Jan 2026,negative,0.9958661794662476
This tiny Australian town is up for sale - but the locals don't want to leave,BBC,4 days ago,negative,0.9997133612632751
'Niggly' Mann aims to get under England's skin,BBC,3 hrs ago,negative,0.996736466884613
Can a council do five days' work in four?,BBC,26 Jan 2026,negative,0.9997629523277283
Hasty or a shrewd move? Madrid in shock at swift Arbeloa appointment,BBC,14 Jan 2026,negative,0.9997166991233826
Factory closure plan could lead to 125 jobs losses,BBC,8 Jan 2026,positive,0.9996277093887329
China's BYD overtakes Tesla as world's top EV seller,BBC,2 Jan 2026,neutral,0.9849480986595154
Are fans being turned off multi-club ownership model?,BBC,12 Jan 2026,negative,0.9692819714546204
'Meat buying habits have changed and the high street has declined',BBC,31 Dec 2025,positive,0.9939305782318115
Celebrating 'authentic football culture' in photos of former stadium,BBC,24 Jan 2026,negative,0.9996845722198486
Why everything from your phone to your PC may get pricier in 2026,BBC,2 Jan 2026,negative,0.9998759031295776
An ingredient for this curry is missing - and in eight minutes it's at the door,BBC,4 days ago,negative,0.9796749949455261
Chicken in many school dinners imported from China and Thailand,BBC,14 hrs ago,negative,0.9998331069946289
Fed chair Powell hits out at 'unprecedented' probe by US justice department,BBC,12 Jan 2026,negative,0.991084098815918
Five Peterborough stories you might have missed,BBC,17 Jan 2026,negative,0.9119829535484314
Ice warning after Storm Goretti brings school closures and travel disruption,BBC,9 Jan 2026,positive,0.9056795835494995
Abandoned baby Elsa to be adopted and regularly see two siblings,BBC,8 Jan 2026,negative,0.9996639490127563
Why are more bosses sharing the top job?,BBC,13 Jan 2026,negative,0.9988038539886475
Man's thanks after wife and daughter hit by tractor,BBC,5 Jan 2026,negative,0.5432137846946716
The 'magical' blue flower changing farmers' fortunes in India,BBC,6 Jan 2026,negative,0.9340617656707764
UK homes to get £15bn for solar and green tech to cut energy bills,BBC,21 Jan 2026,negative,0.9942343831062317
"Dry January, teetotalism and dangers of the 'demon drink'",BBC,17 Jan 2026,positive,0.7351546883583069
'Africa is full of surprises': YouTube star brings tears of joy on 20-nation tour,BBC,18 Jan 2026,negative,0.9668057560920715
'Working in a chippy at 14 made us more confident',BBC,5 Jan 2026,neutral,0.9999994039535522
AI robots and plastic made from peas - science to watch in 2026,BBC,7 Jan 2026,negative,0.9999914169311523
Condom tax and cheaper childcare: China's plan to boost birth rates,BBC,31 Dec 2025,neutral,0.9999984502792358
'We sell antique jewels across the globe from our Yorkshire shops',BBC,27 Dec 2025,negative,0.9999755620956421
J.P. Morgan submits new building and car park plans,BBC,24 Dec 2025,negative,0.9999802112579346
Schools want help in 'lonely battle' against vapes,BBC,7 Jan 2026,negative,0.9011071920394897
Tech stocks to drive growth next year,BBC,19 Dec 2025,neutral,0.9997109770774841
Sound of 2026: Reluctant rockers Royel Otis tipped for success,BBC,5 Jan 2026,neutral,0.9999213218688965
Why are young Britons leaving to work abroad?,BBC,29 Dec 2025,negative,0.9958711266517639
The myth of willpower - and why some people struggle to lose weight more than others,BBC,5 Jan 2026,positive,0.9789924025535583
Families urged to seek help amid festive stress,BBC,19 Dec 2025,negative,0.8733882904052734
Santa axed as new shopping centre owners revealed,BBC,19 Dec 2025,negative,0.9999821186065674
'Are you not entertained?': Why two-dayer was no less of a Test,BBC,27 Dec 2025,negative,0.9991624355316162
Homeowners want end to 'extortionate' service fees,BBC,29 Dec 2025,negative,0.9998044371604919
'Iconic' city centre vintage shop to close,BBC,21 Dec 2025,negative,0.9996800422668457
Christmas market trade down on two years ago,BBC,12 Dec 2025,positive,0.992133378982544
STV journalists to strike day after radio station launch,BBC,23 Dec 2025,negative,0.9999955892562866
Petition started to protect city market's pigeons,BBC,18 Dec 2025,negative,0.9844589233398438
Five arrested over plot to attack German Christmas market,BBC,14 Dec 2025,positive,0.9992437362670898
E-scooter warnings issued ahead of Christmas,BBC,20 Dec 2025,negative,0.997512936592102
Council at risk over £51m loan to housing company,BBC,16 Dec 2025,negative,0.880223274230957
Rail journeys to supermarket opening times: Your complete guide to Christmas,BBC,24 Dec 2025,negative,0.9999958276748657
"Why your chocolate is getting smaller, more expensive and less chocolatey",BBC,13 Dec 2025,negative,0.9983636736869812
Market town's food bank demand triples,BBC,15 Dec 2025,neutral,0.9999985694885254
'No fear' but spectacle and serious risk looms large over Paul v Joshua,BBC,19 Dec 2025,neutral,0.7978816032409668
Round-up 2025: Review of the Year,BBC,31 Dec 2025,negative,0.999940037727356
'Light your menorah and be proudly Jewish',BBC,16 Dec 2025,neutral,0.9999997615814209
US markets edge up at stock market open,BBC,24 Nov 2025,negative,0.9995480179786682
This billionaire tested China's limits. It cost him his freedom,BBC,20 Dec 2025,negative,0.8664870262145996
"Council concern at more than 1,000 Exertis job cuts",BBC,13 Dec 2025,positive,0.9999794960021973
'Fire left market like a wartime bomb site in heart of city',BBC,13 Dec 2025,negative,0.999955415725708
'Kids have been crying as council shut my toy shop',BBC,10 Dec 2025,negative,0.5325960516929626
Man who stole from Boots three times in a day jailed,BBC,9 Dec 2025,negative,0.9439142942428589
Crews on standby for heavy rain 'major incident',BBC,14 Dec 2025,negative,0.983328104019165
Scotland's energy - election common ground or battleground?,BBC,14 Dec 2025,negative,0.9998511075973511
"Ben & Jerry's brand could be destroyed, says co-founder",BBC,9 Dec 2025,positive,0.9993444085121155
"Trump vows to make US affordable again, as Americans feel the pinch",BBC,10 Dec 2025,neutral,0.9035806655883789
Oracle shares slide as earnings fail to ease AI bubble fears,BBC,11 Dec 2025,positive,0.9999946355819702
