text,entity,headline,label,sentiment_str
[TARGET: SpiceJet] SpiceJet to issue 6.4 crore warrants to promoters,SpiceJet,SpiceJet to issue 6.4 crore warrants to promoters,1,neutral
[TARGET: MMTC] MMTC Q2 net loss at Rs 10.4 crore,MMTC,MMTC Q2 net loss at Rs 10.4 crore,1,neutral
"[TARGET: Mid-cap funds] Mid-cap funds can deliver more, stay put: Experts",Mid-cap funds,"Mid-cap funds can deliver more, stay put: Experts",2,positive
[TARGET: Mid caps] Mid caps now turn into market darlings,Mid caps,Mid caps now turn into market darlings,2,positive
"[TARGET: Market] Market seeing patience, if not conviction: Prakash Diwan",Market,"Market seeing patience, if not conviction: Prakash Diwan",1,neutral
[TARGET: Infosys] Infosys: Will the strong volume growth sustain?,Infosys,Infosys: Will the strong volume growth sustain?,1,neutral
[TARGET: Hudco] Hudco raises Rs 279 cr via tax-free bonds,Hudco,Hudco raises Rs 279 cr via tax-free bonds,2,positive
[TARGET: HOEC] HOEC could retest 30-35 levels: Ashwani Gujral,HOEC,HOEC could retest 30-35 levels: Ashwani Gujral,1,neutral
[TARGET: Gold] Gold shines on seasonal demand; Silver dull,Gold,Gold shines on seasonal demand; Silver dull,2,positive
[TARGET: Silver] Gold shines on seasonal demand; Silver dull,Silver,Gold shines on seasonal demand; Silver dull,0,negative
[TARGET: Genpact] Genpact appoints Edward J Fitzpatrick as CFO,Genpact,Genpact appoints Edward J Fitzpatrick as CFO,1,neutral
"[TARGET: EXL] EXL beats profit estimates, cuts sales outlook",EXL,"EXL beats profit estimates, cuts sales outlook",2,positive
[TARGET: Bharti Airtel] Wait and watch on Bharti Airtel: Vinay Khattar,Bharti Airtel,Wait and watch on Bharti Airtel: Vinay Khattar,1,neutral
"[TARGET: banking] Would stick to banking: Girish Pai, Centrum Broking",banking,"Would stick to banking: Girish Pai, Centrum Broking",2,positive
"[TARGET: Centrum Broking] Would stick to banking: Girish Pai, Centrum Broking",Centrum Broking,"Would stick to banking: Girish Pai, Centrum Broking",1,neutral
[TARGET: Aurobindo Pharma] MSCI adds Aurobindo Pharma to India index,Aurobindo Pharma,MSCI adds Aurobindo Pharma to India index,2,positive
[TARGET: MSCI] MSCI adds Aurobindo Pharma to India index,MSCI,MSCI adds Aurobindo Pharma to India index,1,neutral
[TARGET: India index] MSCI adds Aurobindo Pharma to India index,India index,MSCI adds Aurobindo Pharma to India index,1,neutral
[TARGET: Ashok Leyland] Ashok Leyland raises Rs 667 crore through QIP,Ashok Leyland,Ashok Leyland raises Rs 667 crore through QIP,2,positive
"[TARGET: Wipro] At Wipro, growth remains a mirage",Wipro,"At Wipro, growth remains a mirage",0,negative
[TARGET: US] Why Chinese stocks leave US investors vulnerable,US,Why Chinese stocks leave US investors vulnerable,0,negative
[TARGET: Chinese stocks] Why Chinese stocks leave US investors vulnerable,Chinese stocks,Why Chinese stocks leave US investors vulnerable,1,neutral
[TARGET: tech] US stocks finish mixed amid more tech selling,tech,US stocks finish mixed amid more tech selling,0,negative
[TARGET: US stocks] US stocks finish mixed amid more tech selling,US stocks,US stocks finish mixed amid more tech selling,1,neutral
[TARGET: oil] Opec reduces estimate on oil demand growth,oil,Opec reduces estimate on oil demand growth,0,negative
