text,entity,headline,label,sentiment_str
[TARGET: Gur] Gur settles quiet in thin trade,Gur,Gur settles quiet in thin trade,1,neutral
[TARGET: Infosys] Infosys to beat NASSCOM estimate: Sudip Bandyopadhyay,Infosys,Infosys to beat NASSCOM estimate: Sudip Bandyopadhyay,2,positive
[TARGET: 3i Infotech] 3i Infotech: Sale of low-margin biz to help boost profitability,3i Infotech,3i Infotech: Sale of low-margin biz to help boost profitability,2,positive
"[TARGET: Chambal fertilisers] Like Chambal fertilisers: Ambareesh Baliga, Karvy",Chambal fertilisers,"Like Chambal fertilisers: Ambareesh Baliga, Karvy",2,positive
[TARGET: Ruchi Soya] Ruchi Soya Q3 Net up 33.35% at Rs 36.54 crore,Ruchi Soya,Ruchi Soya Q3 Net up 33.35% at Rs 36.54 crore,2,positive
[TARGET: Tata Communications] Tata Communications slips over 2 per cent post Q4 results,Tata Communications,Tata Communications slips over 2 per cent post Q4 results,0,negative
[TARGET: Global stocks] Global stocks lackluster after tech tumble,Global stocks,Global stocks lackluster after tech tumble,0,negative
[TARGET: Nifty] Investors can expect long-term returns of as high as 30% from Nifty,Nifty,Investors can expect long-term returns of as high as 30% from Nifty,2,positive
"[TARGET: NBFC] NBFCs look at a healthy fourth quarter despite stress points, Investors may dig into these stocks",NBFC,"NBFCs look at a healthy fourth quarter despite stress points, Investors may dig into these stocks",2,positive
[TARGET: Israel shekel] Israel shekel at 3-year high on Israel-Hamas truce hopes,Israel shekel,Israel shekel at 3-year high on Israel-Hamas truce hopes,2,positive
"[TARGET: Tata Steel] Citi bullish on metals, upgrades Tata Steel",Tata Steel,"Citi bullish on metals, upgrades Tata Steel",2,positive
"[TARGET: Aussie dollar] Aussie dollar drops on fall in retail sales, New Zealand dollar steady",Aussie dollar,"Aussie dollar drops on fall in retail sales, New Zealand dollar steady",0,negative
[TARGET: Sensex] Sensex loses momentum ahead of F&O expiry; top 20 trading ideas,Sensex,Sensex loses momentum ahead of F&O expiry; top 20 trading ideas,0,negative
"[TARGET: Russian stocks] Focus turns to US outlook, Russian stocks stabilise",Russian stocks,"Focus turns to US outlook, Russian stocks stabilise",2,positive
[TARGET: Reliance Jio] Bharti Infratel hits 52-week high on tower deal with Reliance Jio,Reliance Jio,Bharti Infratel hits 52-week high on tower deal with Reliance Jio,1,neutral
[TARGET: markets] Hard to say if the rebound in the markets will sustain or not: Ashwani Gujral,markets,Hard to say if the rebound in the markets will sustain or not: Ashwani Gujral,1,neutral
[TARGET: JP Associates] JP Associates is a decent buy closer to 60-62 levels: Ambareesh Baliga,JP Associates,JP Associates is a decent buy closer to 60-62 levels: Ambareesh Baliga,2,positive
[TARGET: Jyothy Labs] Jyothy Labs registers 89.9% jump in net profit in Q2 FY15,Jyothy Labs,Jyothy Labs registers 89.9% jump in net profit in Q2 FY15,2,positive
[TARGET: HDFC Standard Life Insurance] Build defensive portfolio in volatile markets: HDFC Standard Life Insurance,HDFC Standard Life Insurance,Build defensive portfolio in volatile markets: HDFC Standard Life Insurance,1,neutral
[TARGET: Japan] Japan says electronics OK during take-off and landing,Japan,Japan says electronics OK during take-off and landing,1,neutral
[TARGET: IT stocks] Currency headwinds weigh on IT stocks,IT stocks,Currency headwinds weigh on IT stocks,0,negative
[TARGET: IDF] IDFs can extend schemes' tenure by up to 2 years: Sebi,IDF,IDFs can extend schemes' tenure by up to 2 years: Sebi,1,neutral
"[TARGET: Oil] Interim Budget 2014: Oil subsidy payments postponed to next fiscal, investors should keep a watch on lowering of subsidies",Oil,"Interim Budget 2014: Oil subsidy payments postponed to next fiscal, investors should keep a watch on lowering of subsidies",1,neutral
"[TARGET: Nifty] Sensex rangebound, Nifty directionless; top fifteen stocks in focus",Nifty,"Sensex rangebound, Nifty directionless; top fifteen stocks in focus",1,neutral
"[TARGET: Raymond] Bullish on Century Textiles but Arvind, Raymond are better performers: Ashwani Gujral",Raymond,"Bullish on Century Textiles but Arvind, Raymond are better performers: Ashwani Gujral",2,positive
[TARGET: telecom sector] EGoM could be slightly negative for telecom sector: Prashasta Seth,telecom sector,EGoM could be slightly negative for telecom sector: Prashasta Seth,0,negative
[TARGET: emerging stocks] Economic growth worries hit emerging stocks,emerging stocks,Economic growth worries hit emerging stocks,0,negative
[TARGET: Cardamom futures] Cardamom futures decline 0.53% on subdued demand,Cardamom futures,Cardamom futures decline 0.53% on subdued demand,0,negative
[TARGET: DTDC] DTDC picks up 70% in logistic firm Nikkos for Rs 1 crore,DTDC,DTDC picks up 70% in logistic firm Nikkos for Rs 1 crore,2,positive
"[TARGET: Sahara] Sebi-Sahara case: Subrata Roy, others summoned tomorrow",Sahara,"Sebi-Sahara case: Subrata Roy, others summoned tomorrow",1,neutral
"[TARGET: arabica] Robusta coffee going the arabica way, prices fall below cost of production on good crop in Vietnam",arabica,"Robusta coffee going the arabica way, prices fall below cost of production on good crop in Vietnam",0,negative
[TARGET: Amara Raja] Amara Raja posts 13% growth; market leader Exide slips 11%,Amara Raja,Amara Raja posts 13% growth; market leader Exide slips 11%,1,neutral
[TARGET: Vas Infrastructure] Sebi imposes Rs 10 lakh on Vas Infrastructure 5 promoters,Vas Infrastructure,Sebi imposes Rs 10 lakh on Vas Infrastructure 5 promoters,1,neutral
[TARGET: SpiceJet] SpiceJet reports Q4 net loss at Rs 321.5 crore,SpiceJet,SpiceJet reports Q4 net loss at Rs 321.5 crore,1,neutral
[TARGET: Marks and Spencer Reliance India] Marks and Spencer Reliance India appoints Venu Nair as managing director,Marks and Spencer Reliance India,Marks and Spencer Reliance India appoints Venu Nair as managing director,1,neutral
[TARGET: IT sector] Overweight on IT sector: BP Singh,IT sector,Overweight on IT sector: BP Singh,1,neutral
"[TARGET: Indonesian rupiah] Indonesian rupiah weakens 1.1 per cent to 13,550 per dollar",Indonesian rupiah,"Indonesian rupiah weakens 1.1 per cent to 13,550 per dollar",0,negative
[TARGET: rubber industry] Centre asks rubber industry to work out details of national rubber policy,rubber industry,Centre asks rubber industry to work out details of national rubber policy,1,neutral
[TARGET: 10-year bond] 10-year bond yield hits 16-1/2 month low on rate cut hopes,10-year bond,10-year bond yield hits 16-1/2 month low on rate cut hopes,2,positive
[TARGET: NBCC] NBCC IPO subscribed 58 pc on Day 3,NBCC,NBCC IPO subscribed 58 pc on Day 3,1,neutral
[TARGET: Nirma] Nirma bid to unlock value via delisting,Nirma,Nirma bid to unlock value via delisting,1,neutral
[TARGET: Sebi] 3 firms approach Sebi with rights issue offer in January,Sebi,3 firms approach Sebi with rights issue offer in January,1,neutral
"[TARGET: Rallis India] Rallis India drops on poor Q2 numbers, mcap drops below Rs 4,000 crore mark",Rallis India,"Rallis India drops on poor Q2 numbers, mcap drops below Rs 4,000 crore mark",0,negative
[TARGET: Hindustan Copper] Hindustan Copper Q2 net profit up nearly 4-fold at Rs 56.21 cr,Hindustan Copper,Hindustan Copper Q2 net profit up nearly 4-fold at Rs 56.21 cr,2,positive
[TARGET: India] India likely to be one of the outperformers among EMs: Atul Suri,India,India likely to be one of the outperformers among EMs: Atul Suri,2,positive
"[TARGET: DLF] Relief temporary for DLF, analysts advise investors to avoid long bets",DLF,"Relief temporary for DLF, analysts advise investors to avoid long bets",1,neutral
"[TARGET: CLSA] Baba Ramdev's Patanjali bigger than Emami and Jyothy Labs, wish it was listed: CLSA report",CLSA,"Baba Ramdev's Patanjali bigger than Emami and Jyothy Labs, wish it was listed: CLSA report",1,neutral
[TARGET: Tata Steel] Sell Tata Steel with a stop loss of Rs 538: Sandeep Wagle,Tata Steel,Sell Tata Steel with a stop loss of Rs 538: Sandeep Wagle,0,negative
[TARGET: infra stocks] Most infra stocks are fairly valued or expensive',infra stocks,Most infra stocks are fairly valued or expensive',0,negative
[TARGET: Suzlon] Tantis may hike stake in Suzlon via rights issue,Suzlon,Tantis may hike stake in Suzlon via rights issue,1,neutral
[TARGET: BSE] BSE writes to Sebi on NSE 'unfair' trade practices,BSE,BSE writes to Sebi on NSE 'unfair' trade practices,1,neutral
"[TARGET: HDFC] Brokerspicks: Axis Bank, HDFC",HDFC,"Brokerspicks: Axis Bank, HDFC",2,positive
"[TARGET: Seoul shares] Seoul shares rise to 2-month highs, helped by foreign buying; won up",Seoul shares,"Seoul shares rise to 2-month highs, helped by foreign buying; won up",2,positive
[TARGET: Balasore Alloys] Balasore Alloys FY11 consolidated net rose 115 pc to Rs 27 crore,Balasore Alloys,Balasore Alloys FY11 consolidated net rose 115 pc to Rs 27 crore,2,positive
[TARGET: China] China keeps investors on edge: Is it 2008 again?,China,China keeps investors on edge: Is it 2008 again?,1,neutral
"[TARGET: ONGC] IOC up nearly 6% as EGoM okays share sale to ONGC, OIL",ONGC,"IOC up nearly 6% as EGoM okays share sale to ONGC, OIL",1,neutral
"[TARGET: yuan] PBOC halts ""regular"" yuan intervention but allows for effective management",yuan,"PBOC halts ""regular"" yuan intervention but allows for effective management",1,neutral
[TARGET: Infosys] Infosys: Headed for better quarterly numbers?,Infosys,Infosys: Headed for better quarterly numbers?,1,neutral
[TARGET: ZEE] ZEE announces closure of share buyback programme,ZEE,ZEE announces closure of share buyback programme,1,neutral
[TARGET: Wipro] Ten key takeaways from Wipro Q1 results,Wipro,Ten key takeaways from Wipro Q1 results,1,neutral
[TARGET: Tesco] Tesco turnaround hits other supermarkets as European shares hold steady,Tesco,Tesco turnaround hits other supermarkets as European shares hold steady,1,neutral
[TARGET: Tata Motors] Tata Motors stock to soar again over JLR volumes and renewed FII interest,Tata Motors,Tata Motors stock to soar again over JLR volumes and renewed FII interest,2,positive
[TARGET: Vedanta-Cairn] Vedanta-Cairn deal may not go through: Ajay Bagga,Vedanta-Cairn,Vedanta-Cairn deal may not go through: Ajay Bagga,0,negative
"[TARGET: gold] Oil, copper and gold retreat as dollar strengthens over yuan devaluation",gold,"Oil, copper and gold retreat as dollar strengthens over yuan devaluation",0,negative
[TARGET: BP] Weaker miners push Britain's FTSE lower; BP gains,BP,Weaker miners push Britain's FTSE lower; BP gains,2,positive
"[TARGET: Hexaware] Short-term trading strategies on Hero MotoCorp, TCS and Hexaware",Hexaware,"Short-term trading strategies on Hero MotoCorp, TCS and Hexaware",1,neutral
[TARGET: JSW Steel] JSW Steel slips over 4% as CBI registers inquiry,JSW Steel,JSW Steel slips over 4% as CBI registers inquiry,0,negative
[TARGET: Firstsource Solutions] Firstsource Solutions spurts over 12% as Rakesh Jhunjhunwala buys stake,Firstsource Solutions,Firstsource Solutions spurts over 12% as Rakesh Jhunjhunwala buys stake,2,positive
[TARGET: Fortis] Fortis Q2 net loss at Rs 58 crore; CEO resignation accepted,Fortis,Fortis Q2 net loss at Rs 58 crore; CEO resignation accepted,1,neutral
"[TARGET: auto] Realty, bank, auto drag as RBI hikes rates",auto,"Realty, bank, auto drag as RBI hikes rates",0,negative
[TARGET: Oil] Oil prices mixed in Asian trade as dealers await fresh US economic data,Oil,Oil prices mixed in Asian trade as dealers await fresh US economic data,1,neutral
[TARGET: Syntel] Syntel appoints Nitin Rakesh as CEO and President,Syntel,Syntel appoints Nitin Rakesh as CEO and President,1,neutral
[TARGET: Indian Overseas Bank] Indian Overseas Bank Q2 loss at Rs 245 crore,Indian Overseas Bank,Indian Overseas Bank Q2 loss at Rs 245 crore,1,neutral
[TARGET: Nifty] Consider aggressive buying on the Nifty: Mitesh Thacker,Nifty,Consider aggressive buying on the Nifty: Mitesh Thacker,2,positive
"[TARGET: won] South Korean shares inch lower, falls stymied as Hyundai gains 6%; won lower",won,"South Korean shares inch lower, falls stymied as Hyundai gains 6%; won lower",0,negative
[TARGET: markets] Raghuram Rajan's 'rate-cut' talk cheer markets; Sensex rallies,markets,Raghuram Rajan's 'rate-cut' talk cheer markets; Sensex rallies,2,positive
"[TARGET: IT] Banking, autos and IT will lead the rally: Prashasta Seth",IT,"Banking, autos and IT will lead the rally: Prashasta Seth",2,positive
[TARGET: Euro] Euro hits 3-month low after German data surprise,Euro,Euro hits 3-month low after German data surprise,0,negative
"[TARGET: GVK] Lanco, GVK, GMR could be a buy in long-term: Girish Pai",GVK,"Lanco, GVK, GMR could be a buy in long-term: Girish Pai",2,positive
"[TARGET: Ambience] Ambience plans IPO by Feb next year; to raise up to Rs 1,293 crore",Ambience,"Ambience plans IPO by Feb next year; to raise up to Rs 1,293 crore",1,neutral
[TARGET: Midcaps] Multibaggers: Midcaps that can rally 80-150% in long term,Midcaps,Multibaggers: Midcaps that can rally 80-150% in long term,2,positive
"[TARGET: Infosys] Infosys, Wipro reasonable value pick in IT sector: JRG Securities",Infosys,"Infosys, Wipro reasonable value pick in IT sector: JRG Securities",2,positive
[TARGET: Welspun Corp] Welspun Corp soars 9% on robust Q2 earnings,Welspun Corp,Welspun Corp soars 9% on robust Q2 earnings,2,positive
"[TARGET: HSBC AM India] Infrastructure stocks dying for reforms: Dhiraj Sachdev, HSBC AM India",HSBC AM India,"Infrastructure stocks dying for reforms: Dhiraj Sachdev, HSBC AM India",1,neutral
[TARGET: Deutsche MF] Deutsche MF launches inflation-indexed bond fund,Deutsche MF,Deutsche MF launches inflation-indexed bond fund,1,neutral
"[TARGET: Bajaj] Prefer Bajaj, Titan in the largecap space: Pankaj Pandey, HoR, ICICIdirect.com",Bajaj,"Prefer Bajaj, Titan in the largecap space: Pankaj Pandey, HoR, ICICIdirect.com",2,positive
[TARGET: Forward Markets Commission] Forward Markets Commission asks bourses not to charge audit fee from members,Forward Markets Commission,Forward Markets Commission asks bourses not to charge audit fee from members,1,neutral
